Family	Known Compounds
Asteraceae	25608
Fabaceae	12853
Streptomycetaceae	10067
Lamiaceae	9993
Trichocomaceae	8204
Rutaceae	5780
Apocynaceae	5539
Euphorbiaceae	4862
Apiaceae	4169
Meliaceae	4112
Solanaceae	3938
Rubiaceae	3466
Annonaceae	3420
Ranunculaceae	3377
Lauraceae	2865
Celastraceae	2861
Rosaceae	2856
Moraceae	2403
Zingiberaceae	2318
Brassicaceae	2219
Araliaceae	2215
Cupressaceae	2136
Pinaceae	1975
Myrtaceae	1883
Piperaceae	1876
Orchidaceae	1776
Alcyoniidae	1740
Clusiaceae	1695
Poaceae	1665
Asparagaceae	1663
Amaryllidaceae	1644
Schisandraceae	1600
Cucurbitaceae	1529
Plantaginaceae	1472
Malvaceae	1469
Hypericaceae	1450
Ganodermataceae	1432
Pleosporaceae	1392
Menispermaceae	1335
Ericaceae	1317
Nectriaceae	1298
Hominidae	1244
Caprifoliaceae	1200
Vitaceae	1190
Simaroubaceae	1151
Primulaceae	1116
Xylariaceae	1096
Acanthaceae	1081
Papaveraceae	1081
Sapindaceae	1074
Bignoniaceae	1028
Convolvulaceae	1022
Thymelaeaceae	1019
Oleaceae	1003
Salicaceae	998
Polyporaceae	979
Gentianaceae	978
Rhamnaceae	965
Phyllanthaceae	956
Polygonaceae	950
Thorectidae	925
Caryophyllaceae	923
Anacardiaceae	910
Taxaceae	895
Pseudomonadaceae	888
Chenopodiaceae	882
Crassulaceae	882
Theaceae	881
Apidae	877
Polygalaceae	873
Iridaceae	851
Aristolochiaceae	832
Cannabaceae	830
Micromonosporaceae	822
Hypocreaceae	820
Verbenaceae	820
Berberidaceae	792
Sargassaceae	780
Scrophulariaceae	779
Myristicaceae	769
Betulaceae	759
Enterobacteriaceae	755
Hyacinthaceae	752
Loganiaceae	748
Diaporthaceae	726
Calophyllaceae	722
Orobanchaceae	722
Chaetomiaceae	710
Fagaceae	701
Magnoliaceae	694
Dictyotaceae	686
Burseraceae	685
Petrosiidae	682
Adoxaceae	676
Axinellidae	676
Pseudonocardiaceae	650
Pteridaceae	635
Cyperaceae	633
Lythraceae	594
Asphodelaceae	593
Combretaceae	581
Boraginaceae	575
Lycopodiaceae	572
Amphisphaeriaceae	566
Nephtheidae	550
Juglandaceae	543
Podocarpaceae	537
Clavicipitaceae	526
Araceae	520
Didymellaceae	520
Ebenaceae	518
Cordycipitaceae	517
Dioscoreaceae	504
Liliaceae	503
Agaricaceae	501
Geraniaceae	490
Santalaceae	483
Campanulaceae	472
Bionectriaceae	471
Cornaceae	471
